,name,position,squad,age,club,birth_year,matches_played,starts,minutes_played,min_played_per_90,goals,assists,non_penalty_goals,pk_goals,pk_attemps,yellow_cards,red_cards
437,Keylor Navas,GK,cr Costa Rica,36-001,1.fr Paris S-G,1986,3,3,270,3.0,0,0,0,0,0,0,0
438,Iliman Ndiaye,"FW,MF",sn Senegal,22-285,2.eng Sheffield Utd,2000,3,2,135,1.5,0,1,0,0,0,0,0
439,Victor Nelsson,DF,dk Denmark,24-063,1.tr Galatasaray,1998,1,1,90,1.0,0,0,0,0,0,0,0
440,Manuel Neuer,GK,de Germany,36-264,1.de Bayern Munich,1986,3,3,270,3.0,0,0,0,0,0,0,0
441,Rúben Neves,MF,pt Portugal,25-278,1.eng Wolves,1997,5,4,268,3.0,0,0,0,0,0,1,0
442,Neymar,MF,br Brazil,30-314,1.fr Paris S-G,1992,3,3,279,3.1,2,0,1,1,1,0,0
443,Moumi Ngamaleu,"FW,MF",cm Cameroon,28-160,1.ru Dynamo Mosc,1994,2,1,95,1.1,0,0,0,0,0,0,0
444,Jerome Ngom Mbekeli,MF,cm Cameroon,24-077,1.cm Colombe Sportive du Dja et Lobo,1998,1,0,5,0.1,0,0,0,0,0,0,0
445,Rasmus Nissen,DF,dk Denmark,25-158,1.eng Leeds United,1997,3,3,224,2.5,0,0,0,0,0,1,0
446,Nicolas Nkoulou,DF,cm Cameroon,32-264,1.gr Aris,1990,2,2,180,2.0,0,1,0,0,0,1,0
447,Andries Noppert,GK,nl Netherlands,28-253,1.nl Heerenveen,1994,5,5,480,5.3,0,0,0,0,0,0,0
448,Ahmad Nourollahi,MF,ir IR Iran,29-317,1.ae Al-Ahli Dubai FC,1993,3,3,223,2.5,0,0,0,0,0,0,0
449,Olivier Ntcham,MF,cm Cameroon,26-310,2.eng Swansea City,1996,1,0,25,0.3,0,0,0,0,0,0,0
450,Matheus Nunes,MF,pt Portugal,24-111,1.eng Wolves,1998,2,1,73,0.8,0,0,0,0,0,0,0
451,Darwin Núñez,FW,uy Uruguay,23-175,1.eng Liverpool,1999,3,3,240,2.7,0,0,0,0,0,1,0
452,Christian Nørgaard,MF,dk Denmark,28-281,1.eng Brentford,1994,1,0,6,0.1,0,0,0,0,0,0,0
453,Guillermo Ochoa,GK,mx Mexico,37-156,1.mx América,1985,3,3,270,3.0,0,0,0,0,0,0,0
454,Denis Odoi,DF,gh Ghana,34-203,1.be Club Brugge,1988,1,0,13,0.1,0,0,0,0,0,0,0
455,Noah Okafor,"FW,MF",ch Switzerland,22-206,1.at RB Salzburg,2000,3,0,45,0.5,0,0,0,0,0,0,0
456,Mathías Olivera,DF,uy Uruguay,25-046,1.it Napoli,1997,3,3,253,2.8,0,0,0,0,0,1,0
457,Dani Olmo,FW,es Spain,24-223,1.de RB Leipzig,1998,4,4,367,4.1,1,1,1,0,0,0,0
458,Amadou Onana,MF,be Belgium,21-122,1.eng Everton,2001,2,1,104,1.2,0,0,0,0,0,2,0
459,André Onana,GK,cm Cameroon,26-258,1.it Inter,1996,1,1,80,0.9,0,0,0,0,0,0,0
460,Gaël Ondoua,MF,cm Cameroon,27-042,2.de Hannover 96,1995,2,0,47,0.5,0,0,0,0,0,0,0
461,Loïs Openda,FW,be Belgium,22-303,1.fr Lens,2000,1,0,13,0.1,0,0,0,0,0,0,0
462,Mislav Oršić,FW,hr Croatia,29-352,1.hr Dinamo Zagreb,1992,5,0,73,0.8,0,2,0,0,0,0,0
463,Jonathan Osorio,"MF,FW",ca Canada,30-187,1.us Toronto FC,1992,3,1,119,1.3,0,0,0,0,0,1,0
464,Nicolás Otamendi,DF,ar Argentina,34-307,1.pt Benfica,1988,6,6,570,6.3,0,1,0,0,0,2,0
465,Otávio,MF,pt Portugal,27-310,1.pt Porto,1995,3,3,196,2.2,0,0,0,0,0,0,0
466,Samuel Oum Gouet,MF,cm Cameroon,25-003,1.be Mechelen,1997,2,1,100,1.1,0,0,0,0,0,0,0
467,Azzedine Ounahi,MF,ma Morocco,22-241,1.fr Angers,2000,6,6,533,5.9,0,0,0,0,0,0,0
468,Bryan Oviedo,DF,cr Costa Rica,32-301,1.us Real Salt Lake,1990,3,3,260,2.9,0,0,0,0,0,0,0
469,Mohammed Al-Owais,GK,sa Saudi Arabia,31-067,1.sa Al-Hilal,1991,3,3,270,3.0,0,0,0,0,0,1,0
470,Juan Pablo Vargas,DF,cr Costa Rica,27-193,1.co Millonarios,1995,1,1,90,1.0,1,0,1,0,0,0,0
471,Exequiel Palacios,"MF,DF",ar Argentina,24-072,1.de Leverkusen,1998,3,0,50,0.6,0,0,0,0,0,0,0
472,João Palhinha,MF,pt Portugal,27-160,1.eng Fulham,1995,3,0,38,0.4,0,0,0,0,0,0,0
473,Lucas Paquetá,MF,br Brazil,25-111,1.eng West Ham,1997,4,4,314,3.5,1,1,1,0,0,0,0
474,Leandro Paredes,MF,ar Argentina,28-170,1.it Juventus,1994,4,2,206,2.3,0,0,0,0,0,1,0
475,Thomas Partey,MF,gh Ghana,29-186,1.eng Arsenal,1993,3,3,270,3.0,0,0,0,0,0,0,0
476,Mario Pašalić,FW,hr Croatia,27-310,1.it Atalanta,1995,6,2,246,2.7,0,0,0,0,0,0,0
477,Benjamin Pavard,DF,fr France,26-263,1.de Bayern Munich,1996,1,1,88,1.0,0,0,0,0,0,0,0
478,Strahinja Pavlović,DF,rs Serbia,21-206,1.at RB Salzburg,2001,3,3,235,2.6,1,0,1,0,0,2,0
479,Pedri,MF,es Spain,20-021,1.es Barcelona,2002,4,4,356,4.0,0,0,0,0,0,0,0
480,Pedro,FW,br Brazil,25-179,1.br Flamengo,1997,2,0,64,0.7,0,0,0,0,0,0,0
481,Facundo Pellistri,"MF,FW",uy Uruguay,20-361,1.eng Manchester Utd,2001,3,2,181,2.0,0,0,0,0,0,0,0
482,Pepe,DF,pt Portugal,39-293,1.pt Porto,1983,4,4,360,4.0,1,0,1,0,0,0,0
483,Danilo Pereira,DF,pt Portugal,31-098,1.fr Paris S-G,1991,1,1,90,1.0,0,0,0,0,0,1,0
484,Ivan Perišić,"FW,DF",hr Croatia,33-317,1.eng Tottenham,1989,6,6,579,6.4,1,2,1,0,0,0,0
485,Bruno Petković,FW,hr Croatia,28-091,1.hr Dinamo Zagreb,1994,5,1,209,2.3,1,0,1,0,0,1,0
486,Germán Pezzella,DF,ar Argentina,31-172,1.es Betis,1991,2,0,55,0.6,0,0,0,0,0,1,0
487,Kalvin Phillips,MF,eng England,27-014,1.eng Manchester City,1995,2,0,42,0.5,0,1,0,0,0,0,0
488,Krzysztof Piątek,FW,pl Poland,27-168,1.it Salernitana,1995,2,0,28,0.3,0,0,0,0,0,0,0
489,Jordan Pickford,GK,eng England,28-284,1.eng Everton,1994,5,5,450,5.0,0,0,0,0,0,0,0
490,Orbelín Pineda,MF,mx Mexico,26-267,1.gr AEK Athens,1996,1,1,76,0.8,0,0,0,0,0,0,0
491,Gonzalo Plata,"MF,FW",ec Ecuador,22-045,1.es Valladolid,2000,3,3,269,3.0,0,0,0,0,0,0,0
492,Jackson Porozo,DF,ec Ecuador,22-134,1.fr Troyes,2000,2,1,96,1.1,0,0,0,0,0,0,0
493,Morteza Pouraliganji,DF,ir IR Iran,30-241,1.ir Persepolis,1992,3,3,270,3.0,0,0,0,0,0,1,0
494,Ángelo Preciado,DF,ec Ecuador,24-301,1.be Genk,1998,3,3,264,2.9,0,1,0,0,0,0,0
495,Christian Pulisic,"FW,MF",us United States,24-089,1.eng Chelsea,1998,4,4,315,3.5,1,2,1,0,0,0,0
496,Adrien Rabiot,MF,fr France,27-257,1.it Juventus,1995,5,4,388,4.3,1,1,1,0,0,0,0
497,Nemanja Radonjić,"DF,FW",rs Serbia,26-304,1.it Torino,1996,3,0,60,0.7,0,0,0,0,0,0,0
498,Baba Rahman,DF,gh Ghana,28-167,2.eng Reading,1994,3,2,183,2.0,0,0,0,0,0,0,0
499,Gonçalo Ramos,"FW,MF",pt Portugal,21-179,1.pt Benfica,2001,4,2,152,1.7,3,1,3,0,0,0,0
500,Aaron Ramsey,MF,wls Wales,31-355,1.fr Nice,1990,3,3,266,3.0,0,0,0,0,0,1,0
501,Raphinha,FW,br Brazil,26-002,1.es Barcelona,1996,5,4,315,3.5,0,1,0,0,0,0,0
502,Marcus Rashford,FW,eng England,25-046,1.eng Manchester Utd,1997,5,1,140,1.6,3,0,3,0,0,0,0
503,David Raum,DF,de Germany,24-238,1.de RB Leipzig,1998,3,3,242,2.7,0,1,0,0,0,0,0
504,Bassam Al-Rawi,DF,qa Qatar,25-000,1.qa Al Duhail SC,1997,1,1,90,1.0,0,0,0,0,0,0,0
505,Tim Ream,DF,us United States,35-072,1.eng Fulham,1987,4,4,360,4.0,0,0,0,0,0,1,0
506,Djorkaeff Reasco,FW,ec Ecuador,23-332,1.ar Newell's OB,1999,1,0,27,0.3,0,0,0,0,0,0,0
507,Gio Reyna,FW,us United States,20-033,1.de Dortmund,2002,2,0,53,0.6,0,0,0,0,0,0,0
508,Ramin Rezaeian,DF,ir IR Iran,32-270,1.ir Sepahan,1990,2,2,180,2.0,1,0,1,0,0,1,0
509,Everton Ribeiro,MF,br Brazil,33-250,1.br Flamengo,1989,1,0,36,0.4,0,0,0,0,0,0,0
510,Declan Rice,MF,eng England,23-336,1.eng West Ham,1999,5,5,417,4.6,0,0,0,0,0,0,0
511,Richarlison,FW,br Brazil,25-220,1.eng Tottenham,1997,4,4,323,3.6,3,0,3,0,0,0,0
512,Fabian Rieder,FW,ch Switzerland,20-303,1.ch Young Boys,2002,2,1,68,0.8,0,0,0,0,0,1,0
513,Ró-Ró,DF,qa Qatar,32-132,1.qa Al Sadd SC,1990,3,3,262,2.9,0,0,0,0,0,0,0
514,Connor Roberts,DF,wls Wales,27-084,2.eng Burnley,1995,3,2,200,2.2,0,0,0,0,0,0,0
515,Antonee Robinson,DF,us United States,25-130,1.eng Fulham,1997,4,4,359,4.0,0,0,0,0,0,0,0
516,Sergio Rochet,GK,uy Uruguay,29-268,1.uy Nacional,1993,3,3,270,3.0,0,0,0,0,0,0,0
517,Joe Rodon,DF,wls Wales,25-055,1.fr Rennes,1997,3,3,270,3.0,0,0,0,0,0,1,0
518,Rodri,DF,es Spain,26-177,1.eng Manchester City,1996,4,4,390,4.3,0,0,0,0,0,0,0
519,Charly Rodríguez,MF,mx Mexico,25-347,1.mx Cruz Azul,1997,2,0,34,0.4,0,0,0,0,0,0,0
520,Guido Rodríguez,MF,ar Argentina,28-248,1.es Betis,1994,1,1,56,0.6,0,0,0,0,0,0,0
521,Kevin Rodríguez,FW,ec Ecuador,22-287,,2000,2,0,2,0.0,0,0,0,0,0,0,0
522,Ricardo Rodríguez,DF,ch Switzerland,30-113,1.it Torino,1992,4,4,359,4.0,0,0,0,0,0,0,0
523,Rodrygo,"MF,FW",br Brazil,21-341,1.es Real Madrid,2001,5,1,181,2.0,0,1,0,0,0,0,0
524,Mohamed Ali Ben Romdhane,MF,tn Tunisia,23-101,1.tn Espérance de Tunis,1999,1,1,73,0.8,0,0,0,0,0,0,0
525,Cristian Romero,DF,ar Argentina,24-233,1.eng Tottenham,1998,6,5,427,4.7,0,0,0,0,0,2,0
526,Cristiano Ronaldo,FW,pt Portugal,37-314,1.eng Manchester Utd,1985,5,3,290,3.2,1,0,0,1,1,0,0
527,Marten de Roon,MF,nl Netherlands,31-262,1.it Atalanta,1991,5,3,184,2.0,0,0,0,0,0,0,0
528,Kye Rowles,DF,au Australia,24-175,1.sct Hearts,1998,4,4,360,4.0,0,0,0,0,0,0,0
529,Antonio Rüdiger,DF,de Germany,29-288,1.es Real Madrid,1993,3,3,270,3.0,0,0,0,0,0,0,0
530,Bryan Ruiz,MF,cr Costa Rica,37-120,1.cr Liga Deportiva Alajuelense,1985,1,0,30,0.3,0,0,0,0,0,0,0
531,Mathew Ryan,GK,au Australia,30-252,1.dk FC Copenhagen,1992,4,4,360,4.0,0,0,0,0,0,0,0
532,Youssouf Sabaly,DF,sn Senegal,29-286,1.es Betis,1993,4,4,360,4.0,0,0,0,0,0,0,0
533,Abdelhamid Sabiri,MF,ma Morocco,26-018,1.it Sampdoria,1996,4,1,136,1.5,0,1,0,0,0,1,0
534,Romain Saïss,DF,ma Morocco,32-265,1.tr Beşiktaş,1990,6,6,466,5.2,1,0,1,0,0,1,0
535,Bukayo Saka,FW,eng England,21-102,1.eng Arsenal,2001,4,4,288,3.2,3,0,3,0,0,0,0
536,Hiroki Sakai,"MF,DF",jp Japan,32-248,1.jp Urawa Reds,1990,2,1,119,1.3,0,0,0,0,0,0,0
537,Youstin Salas,"DF,MF",cr Costa Rica,26-182,1.cr Deportivo Saprissa,1996,2,0,47,0.5,0,0,0,0,0,0,0
538,William Saliba,DF,fr France,21-267,1.eng Arsenal,2001,1,0,28,0.3,0,0,0,0,0,0,0
539,Mohammed Salisu,DF,gh Ghana,23-243,1.eng Southampton,1999,3,3,270,3.0,1,0,1,0,0,0,0
540,Tarek Salman,DF,qa Qatar,25-011,1.qa Al Sadd SC,1997,1,0,8,0.1,0,0,0,0,0,0,0
541,Alex Sandro,DF,br Brazil,31-324,1.it Juventus,1991,3,2,190,2.1,0,0,0,0,0,0,0
542,Leroy Sané,"FW,DF",de Germany,26-339,1.de Bayern Munich,1996,2,1,111,1.2,0,1,0,0,0,0,0
543,Na Sang-ho,FW,kr Korea Republic,26-126,1.kr FC Seoul,1996,2,1,119,1.3,0,0,0,0,0,0,0
544,Pablo Sarabia,FW,es Spain,30-219,1.fr Paris S-G,1992,1,0,3,0.0,0,0,0,0,0,0,0
545,Josh Sargent,FW,us United States,22-299,2.eng Norwich City,2000,3,2,157,1.7,0,0,0,0,0,0,0
546,Jeremy Sarmiento,"MF,FW",ec Ecuador,20-183,1.eng Brighton,2002,3,0,85,0.9,0,0,0,0,0,0,0
547,Ismaila Sarr,"FW,MF",sn Senegal,24-294,2.eng Watford,1998,4,4,344,3.8,1,0,0,1,1,0,0
548,Ferjani Sassi,"MF,DF",tn Tunisia,30-273,1.qa Al Duhail SC,1992,2,0,48,0.5,0,0,0,0,0,1,0
549,Fabian Schär,DF,ch Switzerland,30-361,1.eng Newcastle Utd,1991,2,2,135,1.5,0,0,0,0,0,2,0
550,Nico Schlotterbeck,DF,de Germany,23-015,1.de Dortmund,1999,2,1,94,1.0,0,0,0,0,0,0,0
551,Kasper Schmeichel,GK,dk Denmark,36-041,1.fr Nice,1986,3,3,270,3.0,0,0,0,0,0,0,0
552,Haris Seferović,FW,ch Switzerland,30-297,1.tr Galatasaray,1992,3,0,71,0.8,0,0,0,0,0,0,0
553,Alidu Seidu,DF,gh Ghana,22-195,1.fr Clermont Foot,2000,2,2,155,1.7,0,0,0,0,0,2,0
554,Antoine Semenyo,"FW,MF",gh Ghana,22-343,2.eng Bristol City,2000,2,0,20,0.2,0,0,0,0,0,0,0
555,Kim Seung-gyu,GK,kr Korea Republic,32-077,1.sa Al-Shabab,1990,4,4,360,4.0,0,0,0,0,0,0,0
556,Paik Seung-ho,MF,kr Korea Republic,25-274,1.kr Jeonbuk,1997,1,0,26,0.3,1,0,1,0,0,0,0
557,Yasser Al-Shahrani,DF,sa Saudi Arabia,30-205,1.sa Al-Hilal,1992,1,1,89,1.0,0,0,0,0,0,0,0
558,Xherdan Shaqiri,"FW,MF",ch Switzerland,31-067,1.us Chicago Fire,1991,3,3,229,2.5,1,1,1,0,0,0,0
559,Riyadh Sharahili,MF,sa Saudi Arabia,29-232,1.sa Abha,1993,1,0,54,0.6,0,0,0,0,0,0,0
560,Luke Shaw,DF,eng England,27-157,1.eng Manchester Utd,1995,5,5,424,4.7,0,1,0,0,0,0,0
561,Saad Al Sheeb,GK,qa Qatar,32-300,1.qa Al Sadd SC,1990,1,1,90,1.0,0,0,0,0,0,1,0
562,Saleh Al-Shehri,FW,sa Saudi Arabia,29-045,1.sa Al-Hilal,1993,3,3,223,2.5,1,0,1,0,0,1,0
563,André Silva,FW,pt Portugal,27-040,1.de RB Leipzig,1995,1,0,26,0.3,0,0,0,0,0,0,0
564,António Silva,DF,pt Portugal,19-047,1.pt Benfica,2003,1,1,90,1.0,0,0,0,0,0,0,0
565,Bernardo Silva,MF,pt Portugal,28-128,1.eng Manchester City,1994,5,4,356,4.0,0,0,0,0,0,0,0
566,Thiago Silva,DF,br Brazil,38-085,1.eng Chelsea,1984,4,4,390,4.3,0,1,0,0,0,0,0
567,Unai Simón,GK,es Spain,25-188,1.es Athletic Club,1997,4,4,390,4.3,0,0,0,0,0,0,0
568,Xavi Simons,"FW,MF",nl Netherlands,19-239,1.nl PSV Eindhoven,2003,1,0,9,0.1,0,0,0,0,0,0,0
569,Ellyes Skhiri,MF,tn Tunisia,27-220,1.de Köln,1995,3,3,270,3.0,0,0,0,0,0,0,0
570,Michał Skóraś,MF,pl Poland,22-304,1.pl Lech Poznań,2000,1,0,45,0.5,0,0,0,0,0,0,0
571,Andreas Skov Olsen,"FW,MF",dk Denmark,22-352,1.be Club Brugge,1999,2,2,132,1.5,0,0,0,0,0,0,0
572,Robert Skov,DF,dk Denmark,26-210,1.de Hoffenheim,1996,1,0,22,0.2,0,0,0,0,0,1,0
573,Naïm Sliti,"MF,FW",tn Tunisia,30-142,1.sa Al-Ettifaq,1992,2,1,114,1.3,0,0,0,0,0,0,0
574,Carlos Soler,MF,es Spain,25-348,1.fr Paris S-G,1997,2,0,92,1.0,1,0,1,0,0,0,0
575,Yuki Soma,"FW,MF",jp Japan,25-294,1.jp Grampus,1997,1,1,81,0.9,0,0,0,0,0,0,0
576,Yann Sommer,GK,ch Switzerland,33-364,1.de M'Gladbach,1988,3,3,270,3.0,0,0,0,0,0,0,0
577,Borna Sosa,DF,hr Croatia,24-329,1.de Stuttgart,1998,5,5,424,4.7,0,0,0,0,0,0,0
578,Harry Souttar,DF,au Australia,24-055,2.eng Stoke City,1998,4,4,360,4.0,0,0,0,0,0,0,0
579,Djibril Sow,MF,ch Switzerland,25-313,1.de Eint Frankfurt,1997,4,4,264,2.9,0,1,0,0,0,0,0
580,Renato Steffen,FW,ch Switzerland,31-043,1.ch Lugano,1991,1,0,32,0.4,0,0,0,0,0,0,0
581,Raheem Sterling,FW,eng England,28-008,1.eng Chelsea,1994,3,2,149,1.7,1,1,1,0,0,0,0
582,John Stones,DF,eng England,28-202,1.eng Manchester City,1994,5,5,434,4.8,0,0,0,0,0,0,0
583,Luis Suárez,FW,uy Uruguay,35-326,1.uy Nacional,1987,3,2,146,1.6,0,1,0,0,0,1,0
584,Niklas Süle,DF,de Germany,27-104,1.de Dortmund,1995,3,3,269,3.0,0,0,0,0,0,0,0
585,Kamaldeen Sulemana,FW,gh Ghana,20-304,1.fr Rennes,2002,2,0,58,0.6,0,0,0,0,0,1,0
586,Karol Świderski,FW,pl Poland,25-327,1.us Charlotte,1997,1,1,45,0.5,0,0,0,0,0,0,0
587,Wojciech Szczęsny,GK,pl Poland,32-242,1.it Juventus,1990,4,4,360,4.0,0,0,0,0,0,0,0
588,Damian Szymański,MF,pl Poland,27-183,1.gr AEK Athens,1995,1,0,29,0.3,0,0,0,0,0,0,0
589,Sebastian Szymański,MF,pl Poland,23-220,1.nl Feyenoord,1999,2,2,134,1.5,0,0,0,0,0,0,0
590,Dušan Tadić,"MF,FW",rs Serbia,34-026,1.nl Ajax,1988,3,3,257,2.9,0,2,0,0,0,0,0
591,Nicolás Tagliafico,DF,ar Argentina,30-107,1.fr Lyon,1992,5,2,254,2.8,0,0,0,0,0,0,0
592,Montassar Talbi,DF,tn Tunisia,24-204,1.fr Lorient,1998,3,3,270,3.0,0,0,0,0,0,0,0
593,Hassan Al Tambakti,DF,sa Saudi Arabia,23-310,1.sa Al-Shabab,1999,2,2,180,2.0,0,0,0,0,0,1,0
594,Ao Tanaka,MF,jp Japan,24-097,2.de Düsseldorf,1998,3,2,171,1.9,1,0,1,0,0,0,0
595,Shogo Taniguchi,DF,jp Japan,31-154,1.jp Kawa Frontale,1991,2,2,210,2.3,0,0,0,0,0,1,0
596,Mehdi Taremi,FW,ir IR Iran,30-151,1.pt Porto,1992,3,3,270,3.0,2,1,1,1,1,0,0
597,Kenneth Taylor,MF,nl Netherlands,20-214,1.nl Ajax,2002,1,0,5,0.1,0,0,0,0,0,0,0
598,Aurélien Tchouaméni,MF,fr France,22-323,1.es Real Madrid,2000,6,6,501,5.6,1,0,1,0,0,1,0
599,Yeltsin Tejeda,MF,cr Costa Rica,30-274,1.cr Club Sport Herediano,1992,3,3,269,3.0,1,1,1,0,0,0,0
600,Alex Telles,DF,br Brazil,30-001,1.es Sevilla,1992,2,1,59,0.7,0,0,0,0,0,0,0
601,Sorba Thomas,MF,wls Wales,23-116,2.eng Huddersfield,1999,1,0,1,0.0,0,0,0,0,0,0,0
602,Marcus Thuram,FW,fr France,25-132,1.de M'Gladbach,1997,4,0,71,0.8,0,1,0,0,0,0,0
603,Youri Tielemans,MF,be Belgium,25-223,1.eng Leicester City,1997,3,1,95,1.1,0,0,0,0,0,0,0
604,Jurriën Timber,DF,nl Netherlands,21-182,1.nl Ajax,2001,4,4,390,4.3,0,0,0,0,0,1,0
605,Karl Toko Ekambi,"FW,MF",cm Cameroon,30-093,1.fr Lyon,1992,3,2,166,1.8,0,0,0,0,0,0,0
606,Nouhou Tolo,DF,cm Cameroon,25-176,1.us Seattle,1997,3,3,270,3.0,0,0,0,0,0,1,0
607,Takehiro Tomiyasu,"DF,MF",jp Japan,24-041,1.eng Arsenal,1998,3,1,187,2.1,0,0,0,0,0,0,0
608,Mehdi Torabi,MF,ir IR Iran,28-097,1.ir Persepolis,1994,3,0,62,0.7,0,0,0,0,0,0,0
609,Félix Torres Caicedo,DF,ec Ecuador,25-339,1.mx Santos,1997,3,3,270,3.0,0,1,0,0,0,0,0
610,Ferrán Torres,FW,es Spain,22-290,1.es Barcelona,2000,4,3,217,2.4,2,0,1,1,1,0,0
611,Gerson Torres,MF,cr Costa Rica,25-110,1.cr Club Sport Herediano,1997,1,1,64,0.7,0,0,0,0,0,0,0
612,Pau Torres,DF,es Spain,25-334,1.es Villarreal,1997,1,1,90,1.0,0,0,0,0,0,0,0
613,Kieran Trippier,DF,eng England,32-088,1.eng Newcastle Utd,1990,3,2,206,2.3,0,0,0,0,0,0,0
614,Leandro Trossard,"FW,MF",be Belgium,28-012,1.eng Brighton,1994,3,1,103,1.1,0,0,0,0,0,0,0
615,Matt Turner,GK,us United States,28-175,1.eng Arsenal,1994,4,4,360,4.0,0,0,0,0,0,0,0
616,Ayase Ueda,FW,jp Japan,24-097,1.be Cercle Brugge,1998,1,1,45,0.5,0,0,0,0,0,0,0
617,Hwang Ui-jo,"FW,MF",kr Korea Republic,30-110,1.gr Olympiacos,1992,4,1,106,1.2,0,0,0,0,0,0,0
618,Dayot Upamecano,DF,fr France,24-050,1.de Bayern Munich,1998,4,4,360,4.0,0,0,0,0,0,0,0
619,Enner Valencia,"FW,MF",ec Ecuador,33-042,1.tr Fenerbahçe,1989,3,3,255,2.8,3,0,2,1,1,0,0
620,Federico Valverde,MF,uy Uruguay,24-147,1.es Real Madrid,1998,3,3,270,3.0,0,0,0,0,0,0,0
621,Virgil van Dijk,DF,nl Netherlands,31-161,1.eng Liverpool,1991,5,5,480,5.3,0,0,0,0,0,0,0
622,Raphaël Varane,DF,fr France,29-235,1.eng Manchester Utd,1993,5,5,406,4.5,0,0,0,0,0,0,0
623,Guillermo Varela,DF,uy Uruguay,29-267,1.br Flamengo,1993,3,2,183,2.0,0,0,0,0,0,0,0
624,Ruben Vargas,FW,ch Switzerland,24-133,1.de Augsburg,1998,4,4,285,3.2,0,1,0,0,0,1,0
625,Matías Vecino,MF,uy Uruguay,31-114,1.it Lazio,1991,3,2,195,2.2,0,0,0,0,0,0,0
626,Alexis Vega,FW,mx Mexico,25-021,1.mx Guadalajara,1997,3,3,193,2.1,0,0,0,0,0,0,0
627,Miloš Veljković,DF,rs Serbia,27-081,1.de Werder Bremen,1995,3,3,221,2.5,0,0,0,0,0,0,0
628,Johan Venegas,"FW,MF",cr Costa Rica,34-019,1.cr Liga Deportiva Alajuelense,1988,1,1,73,0.8,0,0,0,0,0,0,0
629,Jordan Veretout,MF,fr France,29-290,1.fr Marseille,1993,1,1,62,0.7,0,0,0,0,0,0,0
630,Jan Vertonghen,DF,be Belgium,35-236,1.be Anderlecht,1987,3,3,270,3.0,0,0,0,0,0,0,0
631,Matías Viña,DF,uy Uruguay,25-037,1.it Roma,1997,2,0,17,0.2,0,0,0,0,0,0,0
632,Vitinha,MF,pt Portugal,22-306,1.fr Paris S-G,2000,3,1,120,1.3,0,0,0,0,0,1,0
633,Steven Vitória,DF,ca Canada,35-339,1.pt Chaves,1987,3,3,270,3.0,0,0,0,0,0,1,0
634,Dušan Vlahović,FW,rs Serbia,22-322,1.it Juventus,2000,2,1,79,0.9,1,0,1,0,0,0,0
635,Nikola Vlašić,"FW,MF",hr Croatia,25-073,1.it Torino,1997,5,1,179,2.0,0,0,0,0,0,0,0
636,Mohammed Waad,"MF,DF",qa Qatar,23-089,1.qa Al Sadd SC,1999,2,0,28,0.3,0,0,0,0,0,0,0
637,Kyle Walker,DF,eng England,32-202,1.eng Manchester City,1990,3,3,236,2.6,0,0,0,0,0,0,0
638,Danny Ward,GK,wls Wales,29-177,1.eng Leicester City,1993,2,1,94,1.0,0,0,0,0,0,0,0
639,Kendall Waston,DF,cr Costa Rica,34-349,1.cr Deportivo Saprissa,1988,3,2,225,2.5,0,0,0,0,0,0,0
640,Timothy Weah,FW,us United States,22-297,1.fr Lille,2000,4,4,316,3.5,1,0,1,0,0,0,0
641,Wout Weghorst,FW,nl Netherlands,30-131,1.tr Beşiktaş,1992,4,0,64,0.7,2,0,2,0,0,1,0
642,Wéverton,GK,br Brazil,35-003,1.br Palmeiras,1987,1,0,11,0.1,0,0,0,0,0,0,0
643,Silvan Widmer,DF,ch Switzerland,29-286,1.de Mainz 05,1993,3,3,265,2.9,0,1,0,0,0,1,0
644,Iñaki Williams,FW,gh Ghana,28-184,1.es Athletic Club,1994,3,3,270,3.0,0,0,0,0,0,0,0
645,Neco Williams,DF,wls Wales,21-247,1.eng Nott'ham Forest,2001,3,3,204,2.3,0,0,0,0,0,0,0
646,Nico Williams,FW,es Spain,20-157,1.es Athletic Club,2002,4,1,146,1.6,0,0,0,0,0,0,0
647,Callum Wilson,FW,eng England,30-292,1.eng Newcastle Utd,1992,2,0,48,0.5,0,1,0,0,0,0,0
648,Harry Wilson,"MF,FW",wls Wales,25-269,1.eng Fulham,1997,3,2,160,1.8,0,0,0,0,0,0,0
649,Roan Wilson,MF,cr Costa Rica,20-229,1.cr Municipal Grecia,2002,1,0,1,0.0,0,0,0,0,0,0,0
650,Axel Witsel,MF,be Belgium,33-338,1.es Atlético Madrid,1989,3,3,270,3.0,0,0,0,0,0,0,0
651,Jeong Woo-yeong,MF,kr Korea Republic,23-087,1.de Freiburg,1999,1,1,45,0.5,0,0,0,0,0,0,0
652,Jung Woo-young,MF,kr Korea Republic,33-002,1.qa Al Sadd SC,1989,4,4,303,3.4,0,0,0,0,0,2,0
653,Christopher Wooh,DF,cm Cameroon,21-089,1.fr Rennes,2001,1,1,90,1.0,0,0,0,0,0,0,0
654,David Wotherspoon,MF,ca Canada,32-334,1.sct St Johnstone,1990,1,0,15,0.2,0,0,0,0,0,0,0
655,Bailey Wright,DF,au Australia,30-141,2.eng Sunderland,1992,1,0,17,0.2,0,0,0,0,0,0,0
656,Haji Wright,FW,us United States,24-264,1.tr Antalyaspor,1998,4,1,137,1.5,1,0,1,0,0,0,0
657,Granit Xhaka,MF,ch Switzerland,30-080,1.eng Arsenal,1992,4,4,360,4.0,0,0,0,0,0,1,0
